[2025-05-08 06:58:16] [INFO] API isteği: https://incikirtasiye.com/api/products/4985?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:16] [INFO] API isteği: https://incikirtasiye.com/api/products/4986?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:17] [INFO] API isteği: https://incikirtasiye.com/api/products/4987?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:17] [INFO] API isteği: https://incikirtasiye.com/api/products/4988?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:17] [INFO] API isteği: https://incikirtasiye.com/api/products/4989?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:17] [INFO] API isteği: https://incikirtasiye.com/api/products/5022?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:17] [INFO] API isteği: https://incikirtasiye.com/api/products/5024?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:17] [INFO] API isteği: https://incikirtasiye.com/api/products/5025?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:17] [INFO] API isteği: https://incikirtasiye.com/api/products/5028?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:17] [INFO] API isteği: https://incikirtasiye.com/api/products/5263?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:18] [INFO] API isteği: https://incikirtasiye.com/api/products/5264?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:18] [INFO] API isteği: https://incikirtasiye.com/api/products/5840?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:18] [INFO] API isteği: https://incikirtasiye.com/api/products/1074?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:18] [INFO] API isteği: https://incikirtasiye.com/api/products/1075?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:18] [INFO] API isteği: https://incikirtasiye.com/api/products/1076?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:18] [INFO] API isteği: https://incikirtasiye.com/api/products/1077?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:18] [INFO] API isteği: https://incikirtasiye.com/api/products/1078?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:18] [INFO] API isteği: https://incikirtasiye.com/api/products/1081?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:18] [INFO] API isteği: https://incikirtasiye.com/api/products/1082?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:18] [INFO] API isteği: https://incikirtasiye.com/api/products/1085?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:18] [INFO] API isteği: https://incikirtasiye.com/api/products/1089?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:19] [INFO] API isteği: https://incikirtasiye.com/api/products/1090?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:19] [INFO] API isteği: https://incikirtasiye.com/api/products/1585?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:19] [INFO] API isteği: https://incikirtasiye.com/api/products/1899?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:19] [INFO] API isteği: https://incikirtasiye.com/api/products/1900?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:19] [INFO] API isteği: https://incikirtasiye.com/api/products/1901?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:19] [INFO] API isteği: https://incikirtasiye.com/api/products/1922?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:19] [INFO] API isteği: https://incikirtasiye.com/api/products/1923?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:19] [INFO] API isteği: https://incikirtasiye.com/api/products/1924?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:19] [INFO] API isteği: https://incikirtasiye.com/api/products/1925?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:19] [INFO] API isteği: https://incikirtasiye.com/api/products/1926?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:20] [INFO] API isteği: https://incikirtasiye.com/api/products/1927?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:20] [INFO] API isteği: https://incikirtasiye.com/api/products/1994?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:20] [INFO] API isteği: https://incikirtasiye.com/api/products/2179?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:20] [INFO] API isteği: https://incikirtasiye.com/api/products/2180?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:20] [INFO] API isteği: https://incikirtasiye.com/api/products/2258?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:20] [INFO] API isteği: https://incikirtasiye.com/api/products/2304?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:20] [INFO] API isteği: https://incikirtasiye.com/api/products/2305?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:20] [INFO] API isteği: https://incikirtasiye.com/api/products/2314?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:20] [INFO] API isteği: https://incikirtasiye.com/api/products/2315?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:20] [INFO] API isteği: https://incikirtasiye.com/api/products/2316?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:20] [INFO] API isteği: https://incikirtasiye.com/api/products/2317?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:21] [INFO] API isteği: https://incikirtasiye.com/api/products/2432?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:21] [INFO] API isteği: https://incikirtasiye.com/api/products/2992?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:21] [INFO] API isteği: https://incikirtasiye.com/api/products/2994?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:21] [INFO] API isteği: https://incikirtasiye.com/api/products/3766?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:21] [INFO] API isteği: https://incikirtasiye.com/api/products/4238?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:21] [INFO] API isteği: https://incikirtasiye.com/api/products/4243?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:21] [INFO] API isteği: https://incikirtasiye.com/api/products/4979?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:21] [INFO] API isteği: https://incikirtasiye.com/api/products/4980?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:21] [INFO] API isteği: https://incikirtasiye.com/api/products/206?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:21] [INFO] API isteği: https://incikirtasiye.com/api/products/207?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:21] [INFO] API isteği: https://incikirtasiye.com/api/products/208?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:22] [INFO] API isteği: https://incikirtasiye.com/api/products/209?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:22] [INFO] API isteği: https://incikirtasiye.com/api/products/1581?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:22] [INFO] API isteği: https://incikirtasiye.com/api/products/1583?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:22] [INFO] API isteği: https://incikirtasiye.com/api/products/2260?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:22] [INFO] API isteği: https://incikirtasiye.com/api/products/2324?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:22] [INFO] API isteği: https://incikirtasiye.com/api/products/2326?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:22] [INFO] API isteği: https://incikirtasiye.com/api/products/2329?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:22] [INFO] API isteği: https://incikirtasiye.com/api/products/2334?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:22] [INFO] API isteği: https://incikirtasiye.com/api/products/2969?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:22] [INFO] API isteği: https://incikirtasiye.com/api/products/2970?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:23] [INFO] API isteği: https://incikirtasiye.com/api/products/2971?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:23] [INFO] API isteği: https://incikirtasiye.com/api/products/2972?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:23] [INFO] API isteği: https://incikirtasiye.com/api/products/2973?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:23] [INFO] API isteği: https://incikirtasiye.com/api/products/2974?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:23] [INFO] API isteği: https://incikirtasiye.com/api/products/2975?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:23] [INFO] API isteği: https://incikirtasiye.com/api/products/2982?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:23] [INFO] API isteği: https://incikirtasiye.com/api/products/2983?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:23] [INFO] API isteği: https://incikirtasiye.com/api/products/5968?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:23] [INFO] API isteği: https://incikirtasiye.com/api/products/1057?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:24] [INFO] API isteği: https://incikirtasiye.com/api/products/1964?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:24] [INFO] API isteği: https://incikirtasiye.com/api/products/1976?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:24] [INFO] API isteği: https://incikirtasiye.com/api/products/1977?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:24] [INFO] API isteği: https://incikirtasiye.com/api/products/1978?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:24] [INFO] API isteği: https://incikirtasiye.com/api/products/1979?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:24] [INFO] API isteği: https://incikirtasiye.com/api/products/1981?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:24] [INFO] API isteği: https://incikirtasiye.com/api/products/1982?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:24] [INFO] API isteği: https://incikirtasiye.com/api/products/2384?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:25] [INFO] API isteği: https://incikirtasiye.com/api/products/2385?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:25] [INFO] API isteği: https://incikirtasiye.com/api/products/2386?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:25] [INFO] API isteği: https://incikirtasiye.com/api/products/2388?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:25] [INFO] API isteği: https://incikirtasiye.com/api/products/2389?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:25] [INFO] API isteği: https://incikirtasiye.com/api/products/2390?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:25] [INFO] API isteği: https://incikirtasiye.com/api/products/2391?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:25] [INFO] API isteği: https://incikirtasiye.com/api/products/2393?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:25] [INFO] API isteği: https://incikirtasiye.com/api/products/2395?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:25] [INFO] API isteği: https://incikirtasiye.com/api/products/2396?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:25] [INFO] API isteği: https://incikirtasiye.com/api/products/2398?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:26] [INFO] API isteği: https://incikirtasiye.com/api/products/2402?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:26] [INFO] API isteği: https://incikirtasiye.com/api/products/2404?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:26] [INFO] API isteği: https://incikirtasiye.com/api/products/2405?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:26] [INFO] API isteği: https://incikirtasiye.com/api/products/2407?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:26] [INFO] API isteği: https://incikirtasiye.com/api/products/2408?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:26] [INFO] API isteği: https://incikirtasiye.com/api/products/2409?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:26] [INFO] API isteği: https://incikirtasiye.com/api/products/2410?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:26] [INFO] API isteği: https://incikirtasiye.com/api/products/2411?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:26] [INFO] API isteği: https://incikirtasiye.com/api/products/2412?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:26] [INFO] API isteği: https://incikirtasiye.com/api/products/2422?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:26] [INFO] API isteği: https://incikirtasiye.com/api/products/2423?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:26] [INFO] API isteği: https://incikirtasiye.com/api/products/2424?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:26] [INFO] API isteği: https://incikirtasiye.com/api/products/2426?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:27] [INFO] API isteği: https://incikirtasiye.com/api/products/2429?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:27] [INFO] API isteği: https://incikirtasiye.com/api/products/2431?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:27] [INFO] API isteği: https://incikirtasiye.com/api/products/2979?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:27] [INFO] API isteği: https://incikirtasiye.com/api/products/2980?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:27] [INFO] API isteği: https://incikirtasiye.com/api/products/2985?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:27] [INFO] API isteği: https://incikirtasiye.com/api/products/2986?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:27] [INFO] API isteği: https://incikirtasiye.com/api/products/3752?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:27] [INFO] API isteği: https://incikirtasiye.com/api/products/3753?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:27] [INFO] API isteği: https://incikirtasiye.com/api/products/3754?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:27] [INFO] API isteği: https://incikirtasiye.com/api/products/5672?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:28] [INFO] API isteği: https://incikirtasiye.com/api/products/5689?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:28] [INFO] API isteği: https://incikirtasiye.com/api/products/5691?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:28] [INFO] API isteği: https://incikirtasiye.com/api/products/3184?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:28] [INFO] API isteği: https://incikirtasiye.com/api/products/166?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:28] [INFO] API isteği: https://incikirtasiye.com/api/products/195?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:28] [INFO] API isteği: https://incikirtasiye.com/api/products/196?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:28] [INFO] API isteği: https://incikirtasiye.com/api/products/833?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:28] [INFO] API isteği: https://incikirtasiye.com/api/products/834?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:29] [INFO] API isteği: https://incikirtasiye.com/api/products/835?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:29] [INFO] API isteği: https://incikirtasiye.com/api/products/1353?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:29] [INFO] API isteği: https://incikirtasiye.com/api/products/1354?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:29] [INFO] API isteği: https://incikirtasiye.com/api/products/3212?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:29] [INFO] API isteği: https://incikirtasiye.com/api/products/4603?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:29] [INFO] API isteği: https://incikirtasiye.com/api/products/4604?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:29] [INFO] API isteği: https://incikirtasiye.com/api/products/4613?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:29] [INFO] API isteği: https://incikirtasiye.com/api/products/4622?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:30] [INFO] API isteği: https://incikirtasiye.com/api/products/4960?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:30] [INFO] API isteği: https://incikirtasiye.com/api/products/4961?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:30] [INFO] API isteği: https://incikirtasiye.com/api/products/5043?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:30] [INFO] API isteği: https://incikirtasiye.com/api/products/5947?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:30] [INFO] API isteği: https://incikirtasiye.com/api/products/614?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:30] [INFO] API isteği: https://incikirtasiye.com/api/products/459?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:31] [INFO] API isteği: https://incikirtasiye.com/api/products/466?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:31] [INFO] API isteği: https://incikirtasiye.com/api/products/1276?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:31] [INFO] API isteği: https://incikirtasiye.com/api/products/1566?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:31] [INFO] API isteği: https://incikirtasiye.com/api/products/5094?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:31] [INFO] API isteği: https://incikirtasiye.com/api/products/5144?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:31] [INFO] API isteği: https://incikirtasiye.com/api/products/181?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:31] [INFO] API isteği: https://incikirtasiye.com/api/products/182?display=full&output_format=JSON [HTTP 200]
[2025-05-08 06:58:31] [INFO] API isteği: https://incikirtasiye.com/api/products/791?display=full&output_format=JSON [HTTP 200]
