Log dosyası 2025-05-08 08:30:14 tarihinde oluşturuldu.
[2025-05-08 08:30:47] [INFO] Prestashop GET-EDIT senkronizasyon başlatıldı
[2025-05-08 08:37:14] [INFO] İlerleme: 720 / 3844 ürün işlendi
[2025-05-08 08:37:21] [INFO] İlerleme: 730 / 3844 ürün işlendi
[2025-05-08 08:37:28] [INFO] İlerleme: 740 / 3844 ürün işlendi
[2025-05-08 08:37:35] [INFO] İlerleme: 750 / 3844 ürün işlendi
[2025-05-08 08:37:38] [INFO] İlerleme: 760 / 3844 ürün işlendi
[2025-05-08 08:37:43] [INFO] İlerleme: 770 / 3844 ürün işlendi
[2025-05-08 08:37:48] [INFO] İlerleme: 780 / 3844 ürün işlendi
[2025-05-08 08:37:54] [INFO] İlerleme: 790 / 3844 ürün işlendi
[2025-05-08 08:37:56] [INFO] İlerleme: 800 / 3844 ürün işlendi
[2025-05-08 08:37:57] [INFO] Batch işlemi başlatılıyor: 800-1000 / 3844
[2025-05-08 08:37:58] [INFO] İlerleme: 810 / 3844 ürün işlendi
[2025-05-08 08:38:01] [INFO] İlerleme: 820 / 3844 ürün işlendi
[2025-05-08 08:38:05] [INFO] İlerleme: 830 / 3844 ürün işlendi
[2025-05-08 08:38:08] [INFO] İlerleme: 840 / 3844 ürün işlendi
[2025-05-08 08:38:11] [INFO] İlerleme: 850 / 3844 ürün işlendi
[2025-05-08 08:38:14] [INFO] İlerleme: 860 / 3844 ürün işlendi
[2025-05-08 08:38:16] [INFO] İlerleme: 870 / 3844 ürün işlendi
[2025-05-08 08:38:20] [INFO] İlerleme: 880 / 3844 ürün işlendi
[2025-05-08 08:38:24] [INFO] İlerleme: 890 / 3844 ürün işlendi
[2025-05-08 08:38:30] [INFO] İlerleme: 900 / 3844 ürün işlendi
[2025-05-08 08:38:37] [INFO] İlerleme: 910 / 3844 ürün işlendi
[2025-05-08 08:38:48] [INFO] İlerleme: 920 / 3844 ürün işlendi
[2025-05-08 08:38:54] [INFO] İlerleme: 930 / 3844 ürün işlendi
[2025-05-08 08:38:58] [INFO] İlerleme: 940 / 3844 ürün işlendi
[2025-05-08 08:39:01] [INFO] İlerleme: 950 / 3844 ürün işlendi
[2025-05-08 08:39:08] [INFO] İlerleme: 960 / 3844 ürün işlendi
[2025-05-08 08:39:14] [INFO] İlerleme: 970 / 3844 ürün işlendi
[2025-05-08 08:39:19] [INFO] İlerleme: 980 / 3844 ürün işlendi
[2025-05-08 08:39:23] [INFO] İlerleme: 990 / 3844 ürün işlendi
[2025-05-08 08:39:26] [INFO] İlerleme: 1000 / 3844 ürün işlendi
[2025-05-08 08:39:27] [INFO] Batch işlemi başlatılıyor: 1000-1200 / 3844
[2025-05-08 08:39:31] [INFO] İlerleme: 1010 / 3844 ürün işlendi
[2025-05-08 08:39:35] [INFO] İlerleme: 1020 / 3844 ürün işlendi
[2025-05-08 08:39:39] [INFO] İlerleme: 1030 / 3844 ürün işlendi
[2025-05-08 08:39:48] [INFO] İlerleme: 1040 / 3844 ürün işlendi
[2025-05-08 08:39:56] [INFO] İlerleme: 1050 / 3844 ürün işlendi
[2025-05-08 08:40:02] [INFO] İlerleme: 1060 / 3844 ürün işlendi
[2025-05-08 08:40:09] [INFO] İlerleme: 1070 / 3844 ürün işlendi
[2025-05-08 08:40:15] [INFO] İlerleme: 1080 / 3844 ürün işlendi
[2025-05-08 08:40:20] [INFO] İlerleme: 1090 / 3844 ürün işlendi
[2025-05-08 08:40:24] [INFO] İlerleme: 1100 / 3844 ürün işlendi
[2025-05-08 08:40:27] [INFO] İlerleme: 1110 / 3844 ürün işlendi
[2025-05-08 08:40:30] [INFO] İlerleme: 1120 / 3844 ürün işlendi
[2025-05-08 08:40:34] [INFO] İlerleme: 1130 / 3844 ürün işlendi
[2025-05-08 08:40:41] [INFO] İlerleme: 1140 / 3844 ürün işlendi
[2025-05-08 08:40:46] [INFO] İlerleme: 1150 / 3844 ürün işlendi
[2025-05-08 08:40:51] [INFO] İlerleme: 1160 / 3844 ürün işlendi
[2025-05-08 08:40:56] [INFO] İlerleme: 1170 / 3844 ürün işlendi
[2025-05-08 08:41:03] [INFO] İlerleme: 1180 / 3844 ürün işlendi
[2025-05-08 08:41:11] [INFO] İlerleme: 1190 / 3844 ürün işlendi
[2025-05-08 08:41:17] [INFO] İlerleme: 1200 / 3844 ürün işlendi
[2025-05-08 08:41:19] [INFO] Batch işlemi başlatılıyor: 1200-1400 / 3844
[2025-05-08 08:41:26] [INFO] İlerleme: 1210 / 3844 ürün işlendi
[2025-05-08 08:41:33] [INFO] İlerleme: 1220 / 3844 ürün işlendi
[2025-05-08 08:41:39] [INFO] İlerleme: 1230 / 3844 ürün işlendi
[2025-05-08 08:41:42] [INFO] İlerleme: 1240 / 3844 ürün işlendi
[2025-05-08 08:41:47] [INFO] İlerleme: 1250 / 3844 ürün işlendi
[2025-05-08 08:41:51] [INFO] İlerleme: 1260 / 3844 ürün işlendi
[2025-05-08 08:41:54] [INFO] İlerleme: 1270 / 3844 ürün işlendi
[2025-05-08 08:41:57] [INFO] İlerleme: 1280 / 3844 ürün işlendi
[2025-05-08 08:42:00] [INFO] İlerleme: 1290 / 3844 ürün işlendi
[2025-05-08 08:42:05] [INFO] İlerleme: 1300 / 3844 ürün işlendi
[2025-05-08 08:42:09] [INFO] İlerleme: 1310 / 3844 ürün işlendi
[2025-05-08 08:42:12] [INFO] İlerleme: 1320 / 3844 ürün işlendi
[2025-05-08 08:42:15] [INFO] İlerleme: 1330 / 3844 ürün işlendi
[2025-05-08 08:42:19] [INFO] İlerleme: 1340 / 3844 ürün işlendi
